title,link,score,score_cnt,top_no,director,writers,actors,types,edit_location,language,dates,play_location,length,rating_per,betters,had_seen,want_see,tags,short_review,review,ask,discussion
钢琴家,https://movie.douban.com/subject/1296736/,9.1,252806人评价,59,['罗曼·波兰斯基'],['罗纳德·哈伍德'],"['艾德里安·布洛迪', '托马斯·克莱舒曼', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德', '穆琳·利普曼', '弗兰克·芬莱', '茱莉亚·蕾娜', '杰西卡·凯特·梅耶尔', '理查德·赖丁斯']","['剧情', '音乐', '传记', '历史', '战争']", 法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语,"['2002', '2002']","['戛纳电影节', '法国']",150,"['60.1%', '33.6%', '5.9%', '0.3%', '0.1%']","['98% 战争片', '97% 音乐片']",328290,117818,"['二战', '战争', '人性', '钢琴', '波兰斯基', '音乐', '德国', '法国']",41807,1051,23,143
美国往事,https://movie.douban.com/subject/1292262/,9.1,217698人评价,60,['赛尔乔·莱昂内'],"['皮耶罗·德·贝纳迪', '莱奥纳多·本韦努蒂', '弗兰科·奥卡利', '恩里科·梅迪欧力', '弗兰科·费里尼', '赛尔乔·莱昂内']","['罗伯特·德尼罗', '詹姆斯·伍兹', '伊丽莎白·麦戈文', '乔·佩西', '波特·杨', '塔斯黛·韦尔德', '特里特·威廉斯', '丹尼·爱罗', '理查德·布赖特', '詹姆斯·海登', '威廉·弗西斯', '达兰妮·弗鲁格', '拉里·拉普', '理查德·弗让吉', '罗伯特·哈珀', '詹妮弗·康纳利']","['剧情', '犯罪']", 意大利 / 美国, 英语 / 法语 / 意大利语,"['1984', '1984']","['波士顿首映', '意大利']",229,"['64.4%', '28.6%', '6.3%', '0.5%', '0.2%']","['98% 剧情片', '99% 犯罪片']",290214,182478,"['美国', '黑帮', '经典', '人生', '美国往事', '罗伯特·德尼罗', '剧情', '美国电影']",44762,1117,69,253
小鞋子,https://movie.douban.com/subject/1303021/,9.2,184101人评价,61,['马基德·马基迪'],['马基德·马基迪'],"['Amir Farrokh Hashemian', '默罕默德·阿米尔·纳吉', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi', 'Fereshte Sarabandi']","['剧情', '家庭', '儿童']", 伊朗, 波斯语,"['1997', '1999']","['伊朗', '美国']",89,"['65.1%', '29.8%', '4.8%', '0.2%', '0.1%']","['98% 儿童片', '98% 剧情片']",235372,105907,"['伊朗', '纯真', '伊朗电影', '儿童', '童年', '小鞋子', '经典', '剧情']",39954,1200,22,121
本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,8.8,495150人评价,62,['大卫·芬奇'],"['艾瑞克·罗斯', '罗宾·史威考德', 'F·司各特·菲茨杰拉德']","['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯', '杰森·弗莱明', '大卫·詹森', '蒂尔达·斯文顿', '艾丽·范宁', '乔安娜·塞勒', '乔什·斯图沃特', '丹尼·文森', '塔拉吉·P·汉森', '马赫沙拉·阿里', '菲奥娜·黑尔', '唐娜·杜普兰提尔', '兰斯·E·尼克尔斯', '特德·曼森', '克莱·卡伦', '菲利斯·萨莫维尔', '杰瑞德·哈里斯', '麦迪逊·贝蒂', '汤姆·埃沃雷特', '克里斯托弗·马克斯韦尔', '伊利亚·沃里克']","['剧情', '爱情', '奇幻']", 美国, 英语 / 俄语 / 法语,['2008'],['美国'],166,"['52.0%', '37.4%', '9.8%', '0.7%', '0.1%']","['98% 爱情片', '97% 奇幻片']",653392,106860,"['爱情', '美国', '人生', '奇幻', '剧情', '温情', '成长', '感动']",89644,3382,39,702
七宗罪,https://movie.douban.com/subject/1292223/,8.8,527614人评价,63,['大卫·芬奇'],['安德鲁·凯文·沃克'],"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克', '约翰·卡西尼', '雷格·E·凯蒂', '李·厄米']","['剧情', '悬疑', '惊悚', '犯罪']", 美国, 英语 / 葡萄牙语,['1995'],['美国'],127,"['49.6%', '39.9%', '9.8%', '0.6%', '0.2%']","['98% 悬疑片', '98% 犯罪片']",705970,120391,"['悬疑', '犯罪', '七宗罪', '美国', '大卫·芬奇', '宗教', '惊悚', '经典']",80854,1570,65,291
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,8.9,382058人评价,64,['中岛哲也'],"['中岛哲也', '山田宗树']","['中谷美纪', '瑛太', '香川照之', '市川实日子', '伊势谷友介', '柄本明', '黑泽明日香', '荒川良良', '柴崎幸', '土屋安娜', '奥之矢佳奈', '谷原章介', '武田真治', '片平渚', '宫藤官九郎', '角野卓造', '田中要次', '木村凯拉', '谷中敦', '剧团一人']","['剧情', '歌舞']", 日本, 日语,['2006'],['日本'],130,"['55.7%', '33.5%', '9.2%', '1.1%', '0.4%']","['97% 剧情片', '97% 歌舞片']",499525,163044,"['日本', '剧情', '人生', '人性', '歌舞', '女性', '经典', '黑色幽默']",109471,6035,71,391
致命魔术,https://movie.douban.com/subject/1780330/,8.8,432609人评价,65,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰', '克里斯托弗·普瑞丝特']","['休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩', '丽贝卡·豪尔', '斯嘉丽·约翰逊', '大卫·鲍伊', '安迪·瑟金斯', '派珀·佩拉博', '萨曼塔·马霍林', '丹尼尔·戴维斯', '吉姆·皮多克', '克里斯托弗·尼姆', '马克·瑞安', '罗杰·里斯', '杰米·哈里斯', '罗恩·帕金斯', '瑞奇·杰', '安东尼·德·马克', '冀朝理']","['剧情', '悬疑', '惊悚']", 美国 / 英国, 英语,['2006'],['美国'],130,"['51.7%', '38.5%', '9.0%', '0.6%', '0.2%']","['98% 悬疑片', '96% 剧情片']",540321,111643,"['悬疑', '魔术', '美国', '剧情', '科幻', 'ChristopherNolan', '魔幻', '美国电影']",84700,1433,109,409
西西里的美丽传说,https://movie.douban.com/subject/1292402/,8.8,461405人评价,66,['朱塞佩·托纳多雷'],"['朱塞佩·托纳多雷', '卢恰诺·温琴佐尼']","['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', 'Luciano Federico', 'Matilde Piana', '埃丽萨·莫鲁奇']","['剧情', '情色', '战争']", 意大利 / 美国, 意大利语 / 英语 / 拉丁语 / 古希腊语,['2000'],['意大利'],109,"['50.3%', '39.8%', '9.2%', '0.5%', '0.1%']","['99% 情色片', '96% 剧情片']",625383,131409,"['意大利', '莫妮卡·贝鲁奇', '西西里的美丽传说', '成长', '爱情', '情色', '青春', '意大利电影']",89007,2959,56,375
看不见的客人,https://movie.douban.com/subject/26580232/,8.7,498218人评价,67,['奥里奥尔·保罗'],['奥里奥尔·保罗'],"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚', '帕科·图斯', '大卫·塞尔瓦斯', '伊尼戈·加斯特西', '圣·耶拉莫斯', '马内尔·杜维索', '布兰卡·马丁内斯', '佩雷·布拉索', '霍尔迪·布鲁内特', '鲍比·冈萨雷斯', '玛蒂娜·乌尔塔多']","['剧情', '悬疑', '惊悚', '犯罪']", 西班牙, 西班牙语,"['2017', '2016', '2017']","['中国大陆', '奇幻电影节', '西班牙']",106,"['47.7%', '42.7%', '9.1%', '0.5%', '0.1%']","['98% 悬疑片', '98% 犯罪片']",582160,121231,"['悬疑', '推理', '西班牙', '犯罪', '剧情', '人性', '心理', '烧脑']",141039,2170,227,785
黑客帝国,https://movie.douban.com/subject/1291843/,8.9,364375人评价,68,"['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯恩', '雨果·维文', '格洛丽亚·福斯特', '乔·潘托里亚诺', '马库斯·钟', '朱利安·阿拉汗加', '马特·多兰']","['动作', '科幻']", 美国 / 澳大利亚, 英语,['1999'],['美国'],136,"['55.4%', '34.2%', '9.5%', '0.7%', '0.2%']","['98% 科幻片', '99% 动作片']",548332,77890,"['科幻', '美国', '动作', '经典', '黑客帝国', '哲学', '1999', '剧情']",49115,660,30,141
让子弹飞,https://movie.douban.com/subject/3742360/,8.7,805960人评价,69,['姜文'],"['朱苏进', '述平', '姜文', '郭俊立', '危笑', '李不空', '马识途']","['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭']","['剧情', '喜剧', '动作', '西部']", 中国大陆 / 香港, 汉语普通话 / 四川话 / 山西话,['2010'],['中国大陆'],132,"['51.2%', '36.4%', '10.9%', '1.1%', '0.4%']","['97% 喜剧片', '95% 剧情片']",1140330,66714,"['黑色幽默', '中国', '喜剧', '剧情', '内地', '人性', '搞笑', '2010']",162348,4686,42,158
拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,8.9,312753人评价,70,['史蒂文·斯皮尔伯格'],['罗伯特·罗达特'],"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯', '巴里·佩珀', '亚当·戈德堡', '范·迪塞尔', '吉奥瓦尼·瑞比西', '杰瑞米·戴维斯', '马特·达蒙', '特德·丹森', '保罗·吉亚玛提', '丹尼斯·法里纳', '马克斯·马蒂尼', '丹兰·布鲁诺', '安德鲁·斯科特']","['剧情', '历史', '战争']", 美国, 英语 / 法语 / 德语 / 捷克语,['1998'],['美国'],169,"['55.2%', '36.4%', '7.8%', '0.4%', '0.1%']","['96% 战争片', '97% 剧情片']",438225,86101,"['战争', '二战', '斯皮尔伯格', '美国', '经典', '人性', 'TomHanks', '汤姆·汉克斯']",40461,704,22,100
音乐之声,https://movie.douban.com/subject/1294408/,8.9,289987人评价,71,['罗伯特·怀斯'],['恩斯特·莱赫曼'],"['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克', '理查德·海顿', '佩吉·伍德', '查尔敏·卡尔', '希瑟·孟席斯-尤里克', '尼古拉斯·哈蒙德', '杜安·蔡斯', '安吉拉·卡特怀特', '黛比·特纳', '基姆·卡拉思', '安娜·李', '波希娅·纳尔逊', '本·怀特', '丹尼尔·特鲁希特', '诺玛·威登', '吉尔克里斯特·斯图尔特', '马妮·尼克松', '埃瓦德妮·贝克', '多丽丝·劳埃德']","['剧情', '爱情', '歌舞', '传记']", 美国, 英语,['1965'],['美国'],174,"['56.3%', '35.1%', '8.1%', '0.4%', '0.1%']","['96% 歌舞片', '98% 爱情片']",402856,51400,"['经典', '音乐剧', '美国', '音乐之声', '音乐', '歌舞', '爱情', '美国电影']",35031,321,7,58
天使爱美丽,https://movie.douban.com/subject/1292215/,8.7,585454人评价,72,['让-皮埃尔·热内'],"['纪尧姆·洛朗', '让-皮埃尔·热内']","['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯', '洛莱拉·克拉沃塔', '塞尔日·梅兰', '贾梅尔·杜布兹', '克洛蒂尔德·莫勒', '克莱尔·莫里耶', '伊莎贝尔·南蒂', '多米尼克·皮侬', '阿尔蒂斯·德·彭居埃恩', '友兰达·梦露', '于尔班·康塞利埃', '莫里斯·贝尼舒', '米歇尔·罗班', '安德烈·达芒', '克洛德·佩隆', '阿尔梅尔', '迪基·奥尔加多', 'Kevin Fernandes', '弗洛拉·吉耶', '阿莫里·巴博尔', '欧仁·贝蒂埃', '让·达里', '马克·阿米约']","['喜剧', '爱情']", 法国 / 德国, 法语 / 俄语,"['2001', '2001']","['法国', '德国']",122,"['50.5%', '36.0%', '12.0%', '1.2%', '0.3%']","['97% 爱情片', '97% 喜剧片']",860712,127933,"['法国', '奥黛丽·塔图', '爱情', '法国电影', '经典', '文艺', '喜剧', '浪漫']",111998,2269,45,431
低俗小说,https://movie.douban.com/subject/1291832/,8.8,424342人评价,73,['昆汀·塔伦蒂诺'],"['昆汀·塔伦蒂诺', '罗杰·阿夫瑞']","['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫', '蒂姆·罗斯', '塞缪尔·杰克逊', '菲尔·拉马', '布鲁斯·威利斯', '弗兰克·威利', '布尔·斯蒂尔斯', '文·瑞姆斯', '劳拉·拉芙蕾丝', '保罗·考尔德伦', '布罗娜·加拉赫', '罗姗娜·阿奎特', '埃里克·斯托尔兹', '玛丽亚·德·梅黛洛']","['剧情', '喜剧', '犯罪']", 美国, 英语 / 西班牙语 / 法语,"['1994', '1994']","['戛纳电影节', '美国']",154,"['52.8%', '35.8%', '10.1%', '1.0%', '0.3%']","['98% 喜剧片', '96% 剧情片']",554238,146641,"['美国', '黑色', '经典', '黑色幽默', '剧情', '黑帮', '犯罪', '1994']",82579,1216,40,285
大闹天宫,https://movie.douban.com/subject/1418019/,9.3,144537人评价,74,"['万籁鸣', '唐澄']","['李克弱', '万籁鸣']","['邱岳峰', '富润生', '毕克', '尚华', '于鼎', '李梓', '刘广宁']","['动画', '奇幻']", 中国大陆, 汉语普通话,"['1961', '1964', '1978', '2004']","['中国大陆', '中国大陆', '中国大陆', '中国大陆']",114,"['71.3%', '22.6%', '5.5%', '0.4%', '0.2%']","['99% 动画片', '99% 奇幻片']",229981,48624,"['国产动画', '动画', '经典', '童年', '中国', '大闹天宫', '中国动画', '大陆']",15966,124,11,39
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,8.8,371442人评价,75,['克里斯·哥伦布'],"['史蒂夫·克洛夫斯', 'J·K·罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼', '玛吉·史密斯', '汤姆·费尔顿', '伊恩·哈特', '理查德·哈里斯', '约翰·赫特', '罗彼·考特拉尼', '朱丽·沃特斯', '邦妮·怀特', '约翰·克立斯', '肖恩·比格斯代夫']","['奇幻', '冒险']", 美国 / 英国, 英语,"['2002', '2001', '2001']","['中国大陆', '英国首映', '美国']",152,"['52.8%', '36.8%', '9.7%', '0.5%', '0.1%']","['97% 奇幻片', '97% 冒险片']",497914,20569,"['哈利波特', '魔幻', '英国', '奇幻', '美国', 'harrypotter', '经典', '科幻']",43963,350,11,36
勇敢的心,https://movie.douban.com/subject/1294639/,8.8,350486人评价,76,['梅尔·吉布森'],['兰道尔·华莱士'],"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛', '凯瑟琳·麦克马克', '安古斯·麦克菲登']","['剧情', '动作', '传记', '历史', '战争']", 美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语,"['1995', '1995']","['西雅图电影节', '美国']",177,"['54.1%', '35.1%', '9.8%', '0.8%', '0.2%']","['95% 战争片', '96% 历史片']",496106,88771,"['史诗', '勇敢的心', '战争', '经典', '自由', '梅尔·吉布森', '美国', '历史']",56831,984,8,195
剪刀手爱德华,https://movie.douban.com/subject/1292370/,8.7,596680人评价,77,['蒂姆·波顿'],"['卡罗琳·汤普森', '蒂姆·波顿']","['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特', '安东尼·迈克尔·豪尔', '凯西·贝克', '罗伯特·奥利维里', '康查塔·费雷尔', '卡罗琳·阿隆', '迪克·安东尼·威廉姆斯', '澳澜·琼斯', '文森特·普莱斯', '艾伦·阿金', '苏珊·布洛马特', 'Linda Perri', '约翰·戴维森']","['剧情', '爱情', '奇幻']", 美国, 英语,['1990'],['美国'],105,"['47.5%', '39.9%', '11.6%', '0.8%', '0.2%']","['97% 爱情片', '95% 剧情片']",829446,91226,"['爱情', 'JohnnyDepp', '剪刀手爱德华', '经典', '童话', '美国', '科幻', 'TimBurton']",95992,1858,20,218
沉默的羔羊,https://movie.douban.com/subject/1293544/,8.8,432312人评价,78,['乔纳森·戴米'],"['托马斯·哈里斯', '泰德·塔里']","['朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦', '安东尼·希尔德', '布鲁克·史密斯', '卡斯·莱蒙斯', '弗兰基·费森', '泰德·拉文', '崔西·沃特', '丹·巴特勒', '达拉']","['剧情', '惊悚', '犯罪']", 美国, 英语,['1991'],['美国'],118,"['49.4%', '40.4%', '9.5%', '0.5%', '0.1%']","['99% 惊悚片', '98% 犯罪片']",585960,101436,"['惊悚', '悬疑', '心理', '犯罪', '经典', '美国', '沉默的羔羊', '美国电影']",65120,745,53,180
蝴蝶效应,https://movie.douban.com/subject/1292343/,8.7,475704人评价,79,"['埃里克·布雷斯', 'J·麦基·格鲁伯']","['J·麦基·格鲁伯', '埃里克·布雷斯']","['阿什顿·库彻', '梅罗拉·沃特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特', '约翰·帕特里克·阿梅多利', '艾琳·戈洛瓦娅', '凯文·G·施密特', '杰西·詹姆斯', '罗根·勒曼', '莎拉·威多斯', '杰克·凯斯', '卡梅隆·布莱特', '埃里克·斯托尔兹', '考乐姆·吉斯·雷尼']","['剧情', '科幻', '悬疑', '惊悚']", 美国 / 加拿大, 英语,['2004'],['美国'],113,"['48.6%', '40.1%', '10.3%', '0.8%', '0.2%']","['98% 悬疑片', '97% 科幻片']",690659,122069,"['悬疑', '心理', '科幻', '美国', '剧情', '惊悚', '经典', '人性']",82369,2299,48,321
春光乍泄,https://movie.douban.com/subject/1292679/,8.9,313872人评价,80,['王家卫'],['王家卫'],"['张国荣', '梁朝伟', '张震']","['剧情', '爱情', '同性']", 香港 / 日本 / 韩国, 粤语 / 汉语普通话 / 西班牙语,"['1997', '1997']","['戛纳电影节', '香港']",96,"['53.9%', '36.0%', '9.2%', '0.7%', '0.2%']","['99% 同性片', '98% 爱情片']",412346,123154,"['王家卫', '张国荣', '梁朝伟', '同志', '香港', '爱情', '香港电影', '同性恋']",68063,2189,44,236
心灵捕手,https://movie.douban.com/subject/1292656/,8.8,345504人评价,81,['格斯·范·桑特'],"['本·阿弗莱克', '马特·达蒙']","['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德', '明妮·德里弗', '卡西·阿弗莱克', '科尔·豪瑟', 'John Mighton', 'Dan Washington', '艾莉森·福兰德', '维克·萨海', '史提文科兹洛夫斯基', '斯科特·威廉姆·文特斯', 'Jimmy Flynn', '乔治·普林普顿', '弗朗切斯科·克莱门特']",['剧情'], 美国, 英语,['1997'],['美国'],126,"['50.6%', '39.8%', '8.9%', '0.6%', '0.1%']",['96% 剧情片'],452207,127552,"['励志', '心理', '成长', '美国', '经典', '青春', '美国电影', '剧情']",63396,1996,28,148
入殓师,https://movie.douban.com/subject/2149806/,8.8,369190人评价,82,['泷田洋二郎'],['小山薰堂'],"['本木雅弘', '广末凉子', '山崎努', '吉行和子', '笹野高史', '余贵美子']",['剧情'], 日本, 日语,['2008'],['日本'],130,"['51.0%', '39.2%', '9.1%', '0.5%', '0.1%']",['96% 剧情片'],491919,114228,"['日本', '日本电影', '入殓师', '剧情', '广末凉子', '奥斯卡', '人性', '本木雅弘']",69877,3583,30,523
猫鼠游戏,https://movie.douban.com/subject/1305487/,8.8,316523人评价,83,['史蒂文·斯皮尔伯格'],['杰夫·内桑森'],"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯', '马丁·辛', '艾米·亚当斯', '詹妮弗·加纳', '伊丽莎白·班克斯', '纳塔莉·贝伊', '詹姆斯·布洛林', '艾伦·旁派', '南希·利内翰', '布莱恩·豪威 ', '弗兰克·约翰·休斯', '克里斯·埃里斯']","['剧情', '传记', '犯罪']", 美国 / 加拿大, 英语 / 法语,"['2002', '2002']","['洛杉矶首映', '美国']",141,"['50.4%', '41.0%', '8.1%', '0.4%', '0.1%']","['98% 犯罪片', '96% 剧情片']",409944,95446,"['犯罪', '美国', 'LeonardoDiCaprio', '剧情', '斯皮尔伯格', '汤姆·汉克斯', '莱昂纳多·迪卡普里奥', 'TomHanks']",57338,759,32,107
布达佩斯大饭店,https://movie.douban.com/subject/11525673/,8.8,418188人评价,84,['韦斯·安德森'],"['韦斯·安德森', '雨果·吉尼斯', '斯蒂芬·茨威格']","['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪', '威廉·达福', '裘德·洛', '爱德华·诺顿', '西尔莎·罗南', '蒂尔达·斯文顿', '比尔·默瑞', '蕾雅·赛杜', '欧文·威尔逊', '詹森·舒瓦兹曼', '马修·阿马立克', 'F·默里·亚伯拉罕', '汤姆·威尔金森', '杰夫·高布伦', '哈威·凯特尔']","['剧情', '喜剧', '冒险']", 美国 / 德国 / 英国, 英语 / 法语 / 德语,"['2014', '2014']","['柏林电影节', '美国']",99,"['51.4%', '37.9%', '9.7%', '0.8%', '0.2%']","['98% 喜剧片', '96% 剧情片']",511343,136326,"['黑色幽默', '喜剧', '美国', '文艺', '剧情', '经典', '人性', '2014']",102958,873,134,93
禁闭岛,https://movie.douban.com/subject/2334904/,8.7,458207人评价,85,['马丁·斯科塞斯'],"['莱塔·卡罗格里迪斯', '丹尼斯·勒翰']","['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利', '马克斯·冯·叙多夫', '米歇尔·威廉姆斯', '艾米莉·莫迪默', '派翠西娅·克拉克森', '杰基·厄尔·哈利', '泰德·拉文', '约翰·卡洛·林奇', '伊莱亚斯·科泰斯', '罗宾·巴特利特', '克里斯托弗·邓汉', '约瑟夫·斯科拉']","['剧情', '悬疑', '惊悚']", 美国, 英语 / 德语,"['2010', '2010']","['柏林电影节', '美国']",138,"['46.8%', '42.8%', '9.7%', '0.6%', '0.1%']","['98% 悬疑片', '98% 惊悚片']",608648,94786,"['悬疑', '莱昂纳多·迪卡普里奥', '心理', '惊悚', '美国', '剧情', 'LeonardoDiCaprio', '美国电影']",90709,1701,25,326
寻梦环游记,https://movie.douban.com/subject/20495023/,9.0,631724人评价,86,"['李·昂克里奇', '阿德里安·莫利纳']","['阿德里安·莫利纳', '马修·奥尔德里奇', '李·昂克里奇', '詹森·卡茨']","['安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰纳·乌巴奇', '芮妮·维克托', '杰米·卡米尔', '阿方索·阿雷奥', '赫伯特·西古恩萨', '加布里埃尔·伊格莱西亚斯', '隆巴多·博伊尔', '安娜·奥菲丽亚·莫吉亚', '娜塔丽·科尔多瓦', '赛琳娜·露娜', '爱德华·詹姆斯·奥莫斯', '索菲亚·伊斯皮诺萨', '卡拉·梅迪纳', '黛娅娜·欧特里', '路易斯·瓦尔德斯', '布兰卡·阿拉切利', '萨尔瓦多·雷耶斯', '切奇·马林', '奥克塔维·索利斯', '约翰·拉岑贝格']","['喜剧', '动画', '音乐', '奇幻']", 美国, 英语 / 西班牙语,"['2017', '2017', '2017']","['中国大陆', '莫雷利亚电影节', '美国']",105,"['59.9%', '32.2%', '7.3%', '0.5%', '0.1%']","['97% 动画片', '96% 音乐片']",734694,79695,"['温情', '动画', '亲情', '皮克斯', '迪士尼', '音乐', '家庭', '墨西哥']",205773,5273,72,1039
玛丽和马克思,https://movie.douban.com/subject/3072124/,8.9,266821人评价,87,['亚当·艾略特'],['亚当·艾略特'],"['托妮·科莱特', '菲利普·塞默·霍夫曼', '巴瑞·哈姆弗莱斯', '艾瑞克·巴纳', '贝塔尼·维特莫尔', '蕾妮·盖耶', '伊恩·莫利·梅尔德伦', '克里斯托弗·马西', '卡罗琳·莎士比亚-艾伦', '琳恩·史密斯']","['剧情', '动画']", 澳大利亚, 英语 / 依地语,"['2009', '2009']","['圣丹斯电影节', '澳大利亚']",92,"['56.3%', '33.8%', '8.8%', '0.8%', '0.2%']","['96% 动画片', '97% 剧情片']",337724,129362,"['动画', '粘土动画', '友情', '澳大利亚', '孤独', '成长', '人生', '2009']",64977,2467,30,225
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,8.8,337198人评价,88,['姜文'],"['姜文', '王朔']","['夏雨', '宁静', '陶虹', '耿乐', '斯琴高娃', '冯小刚', '刘小宁', '姜文', '王学圻', '王朔', '尚楠', '方化', '代少波', '王海', '姚二嘎', '吴淑昆', '左小青', '韩冬', '孙靖', '刘斌', '张维', '杨彤林', '王海', '王福', '胡贝贝', '高保成', '吴淑琨', '张华', '二勇', '烈子', '陈伟']",['剧情'], 中国大陆 / 香港, 汉语普通话,"['1995', '1994', '1995']","['中国大陆', '威尼斯电影节', '香港']",134,"['50.0%', '39.6%', '9.6%', '0.6%', '0.1%']",['96% 剧情片'],469885,104520,"['姜文', '青春', '阳光灿烂的日子', '经典', '文革', '夏雨', '中国电影', '中国']",59149,1418,35,231
幽灵公主,https://movie.douban.com/subject/1297359/,8.8,291015人评价,89,['宫崎骏'],['宫崎骏'],"['松田洋治', '石田百合子', '田中裕子', '小林薰', '西村雅彦', '上条恒彦', '岛本须美', '渡边哲', '佐藤允', '名古屋章', '美轮明宏', '森光子', '森繁久弥']","['动画', '奇幻', '冒险']", 日本, 日语,['1997'],['日本'],134,"['52.4%', '37.2%', '9.8%', '0.5%', '0.1%']","['94% 动画片', '97% 奇幻片']",388707,58957,"['宫崎骏', '动画', '日本', '幽灵公主', '日本动画', '动漫', '宮崎駿', '电影']",38363,649,19,108
第六感,https://movie.douban.com/subject/1297630/,8.8,288762人评价,90,['M·奈特·沙马兰'],['M·奈特·沙马兰'],"['布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特', '奥莉维亚·威廉姆斯', '唐尼·沃尔伯格', '特拉沃·摩根', '彼得·安东尼·唐伯蒂斯', '格伦·菲茨杰拉德', '米莎·巴顿', 'Lisa Summerour', '法尔德斯·巴姆', '杰弗里·泽布尼斯']","['剧情', '悬疑', '惊悚']", 美国, 英语 / 拉丁语 / 西班牙语,['1999'],['美国'],107,"['51.2%', '39.3%', '8.8%', '0.5%', '0.1%']","['98% 悬疑片', '99% 惊悚片']",362518,112242,"['悬疑', '惊悚', '美国', '灵异', '心理', '经典', '剧情', '恐怖']",59299,769,56,212
穿条纹睡衣的男孩,https://movie.douban.com/subject/3008247/,9.0,203042人评价,91,['马克·赫尔曼'],"['马克·赫尔曼', '约翰·伯恩']","['阿萨·巴特菲尔德', '维拉·法米加', '大卫·休里斯', '杰克·塞隆', '鲁伯特·弗兰德', '谢拉·汉考克', '大卫·海曼', '贝拉·费斯彼姆']","['剧情', '战争']", 英国 / 美国, 英语,"['2008', '2008']","['英国', '美国']",94,"['55.5%', '37.6%', '6.4%', '0.4%', '0.1%']","['97% 战争片', '98% 剧情片']",262371,121233,"['二战', '战争', '人性', '穿条纹衣服的男孩', '剧情', '纳粹', '美国', '英国']",47189,1140,27,144
重庆森林,https://movie.douban.com/subject/1291999/,8.7,411371人评价,92,['王家卫'],['王家卫'],"['林青霞', '金城武', '梁朝伟', '王菲', '周嘉玲']","['剧情', '爱情']", 香港, 粤语 / 汉语普通话 / 英语 / 印地语 / 日语,['1994'],['香港'],102,"['48.2%', '39.6%', '11.1%', '0.9%', '0.3%']","['97% 爱情片', '95% 剧情片']",560915,109359,"['王家卫', '王菲', '重庆森林', '梁朝伟', '爱情', '香港', '香港电影', '金城武']",87612,2006,50,247
