title,link,score,score_cnt,top_no,director,writers,actors,types,edit_location,language,dates,play_location,length,rating_per,betters,had_seen,want_see,tags,short_review,review,ask,discussion
楚门的世界,https://movie.douban.com/subject/1292064/,9.2,670637人评价,16,['彼得·威尔'],['安德鲁·尼科尔'],"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩']","['剧情', '科幻']", 美国, 英语,['1998'],['美国'],103,"['64.8%', '29.8%', '5.0%', '0.3%', '0.1%']","['99% 剧情片', '99% 科幻片']",897161,155585,"['人性', '经典', '美国', '楚门的世界', '剧情', 'JimCarrey', '美国电影', '人生']",132191,3963,52,293
龙猫,https://movie.douban.com/subject/1291560/,9.1,604730人评价,17,['宫崎骏'],['宫崎骏'],"['日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣', '高木均', '雨笠利幸', '丸山裕子', '广濑正志', '鹫尾真知子', '铃木玲子', '千叶繁', '龙田直树', '鳕子', '西村朋纮', '石田光子', '神代知衣', '中村大树', '水谷优子', '平松晶子', '大谷育江']","['动画', '奇幻', '冒险']", 日本, 日语,"['2018', '1988']","['中国大陆', '日本']",86,"['64.2%', '29.5%', '6.0%', '0.3%', '0.1%']","['98% 动画片', '99% 奇幻片']",835948,181110,"['日本', '动漫', '温情', '童年', '经典', '成长', '童话', '感人']",113734,1723,19,348
星际穿越,https://movie.douban.com/subject/1889243/,9.2,682481人评价,18,['克里斯托弗·诺兰'],"['乔纳森·诺兰', '克里斯托弗·诺兰']","['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩', '马特·达蒙', '麦肯吉·弗依', '蒂莫西·柴勒梅德', '艾伦·伯斯汀', '约翰·利思戈', '韦斯·本特利', '大卫·吉雅西', '比尔·欧文', '托弗·戈瑞斯', '科莱特·沃夫', '弗朗西斯·X·麦卡蒂', '安德鲁·博尔巴', '乔什·斯图沃特', '莱雅·卡里恩斯', '利亚姆·迪金森', '杰夫·赫普内尔', '伊莱耶斯·加贝尔', '布鲁克·史密斯', '大卫·奥伊罗', '威廉姆·德瓦内', '拉什·费加', '格里芬·弗雷泽', '弗洛拉·诺兰']","['剧情', '科幻', '冒险']", 美国 / 英国 / 加拿大 / 冰岛, 英语,"['2014', '2014']","['中国大陆', '美国']",169,"['68.2%', '25.5%', '5.5%', '0.5%', '0.3%']","['99% 科幻片', '99% 冒险片']",897699,108623,"['科幻', '美国', '太空', '宇宙', '人性', '冒险', '亲情', '2014']",181772,4409,1214,382
教父,https://movie.douban.com/subject/1291841/,9.2,454400人评价,19,['弗朗西斯·福特·科波拉'],"['马里奥·普佐', '弗朗西斯·福特·科波拉']","['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺', '罗伯特·杜瓦尔', '斯特林·海登', '约翰·马利', '理查德·康特', '艾尔·勒提埃里', '黛安·基顿', '阿贝·维高达', '塔莉娅·夏尔', '吉亚尼·罗素', '约翰·凯泽尔', '鲁迪·邦德']","['剧情', '犯罪']", 美国, 英语 / 意大利语 / 拉丁语,"['1972', '1972']","['纽约首映', '美国']",175,"['68.9%', '24.9%', '5.6%', '0.5%', '0.2%']","['99% 犯罪片', '99% 剧情片']",602211,167048,"['黑帮', '经典', '美国', '犯罪', '剧情', '黑社会', '人性', '人生']",74802,1182,53,242
熔炉,https://movie.douban.com/subject/5912992/,9.3,390414人评价,20,['黄东赫'],"['孔枝泳', '黄东赫']","['孔侑', '郑有美', '金志映', '金贤秀', '郑仁絮', '白承焕', '张光', '严孝燮']",['剧情'], 韩国, 韩语,['2011'],['韩国'],125,"['68.2%', '27.1%', '4.3%', '0.3%', '0.1%']",['99% 剧情片'],488595,142798,"['人性', '韩国', '犯罪', '社会', '虐心', '剧情', '熔炉', '感人']",104514,3083,71,259
无间道,https://movie.douban.com/subject/1307914/,9.1,566023人评价,21,"['刘伟强', '麦兆辉']","['麦兆辉', '庄文强']","['刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文', '陈慧琳', '陈冠希', '余文乐', '杜汶泽', '林家栋', '萧亚轩']","['剧情', '悬疑', '犯罪']", 香港, 粤语,"['2003', '2002']","['中国大陆', '香港']",101,"['62.2%', '31.6%', '5.9%', '0.2%', '0.1%']","['99% 犯罪片', '98% 剧情片']",804709,80068,"['香港', '警匪', '经典', '黑帮', '犯罪', '动作', '剧情', '中国']",80697,945,75,215
当幸福来敲门,https://movie.douban.com/subject/1849031/,9.0,727368人评价,22,['加布里埃莱·穆奇诺'],['斯蒂夫·康拉德'],"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦', '丹·卡斯泰兰尼塔', '柯特·富勒', '塔卡尤·费舍尔', '凯文·韦斯特', '乔治·张', '戴维·迈克尔·西尔弗曼', '多米尼克·博夫', '杰弗·卡伦', '乔伊芙·拉文', '斯科特·克拉斯']","['剧情', '家庭', '传记']", 美国, 英语 / 粤语,"['2008', '2006']","['中国大陆', '美国']",117,"['58.5%', '33.7%', '7.3%', '0.4%', '0.1%']","['98% 家庭片', '98% 剧情片']",988488,94956,"['励志', '父子', '感动', '美国电影', '家庭', '经典', '人生', '剧情']",119177,3312,13,412
触不可及,https://movie.douban.com/subject/6786002/,9.2,481386人评价,23,"['奥利维埃·纳卡什', '埃里克·托莱达诺']","['奥利维埃·纳卡什', '埃里克·托莱达诺']","['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '托马·索利韦尔']","['剧情', '喜剧']", 法国, 法语,['2011'],['法国'],112,"['64.8%', '29.7%', '5.0%', '0.3%', '0.1%']","['99% 喜剧片', '99% 剧情片']",632678,215011,"['温情', '法国', '感人', '喜剧', '法式情怀', '剧情', '搞笑', '友情']",119297,2151,49,223
疯狂动物城,https://movie.douban.com/subject/25662329/,9.2,754732人评价,24,"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什']","['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什', '吉姆·里尔顿', '乔西·特立尼达', '菲尔·约翰斯顿', '珍妮弗·李']","['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯', '邦尼·亨特', '唐·雷克', '汤米·钟', 'J·K·西蒙斯', '奥克塔维亚·斯宾瑟', '艾伦·图代克', '夏奇拉', '雷蒙德·S·佩尔西', '德拉·萨巴', '莫里斯·拉马奇', '菲尔·约翰斯顿', '约翰·迪·玛吉欧', '凯蒂·洛斯', '吉塔·雷迪', '杰西·科尔蒂', '汤米·利斯特', '乔希·达拉斯', '瑞奇·摩尔', '凯斯·索西', '彼得·曼斯布里奇', '拜伦·霍华德', '杰拉德·布什', '马克·史密斯', '乔西·特立尼达', '约翰·拉维尔', '克里斯汀·贝尔', '吉尔·科德斯', '梅利莎·古德温']","['喜剧', '动画', '冒险']", 美国, 英语 / 挪威语,['2016'],['中国大陆/美国'],109,"['64.0%', '30.1%', '5.4%', '0.3%', '0.1%']","['99% 喜剧片', '98% 动画片']",902651,44271,"['动画', '迪士尼', '喜剧', '美国', '动物', '搞笑', 'Disney', '2016']",184073,3112,263,62
怦然心动,https://movie.douban.com/subject/3319755/,9.0,787146人评价,25,['罗伯·莱纳'],"['罗伯·莱纳', '安德鲁·沙因曼', '文德琳·范·德拉安南']","['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼', '佩内洛普·安·米勒', '艾丹·奎因', '凯文·韦斯曼', '摩根·莉莉', '瑞安·克茨纳', '吉莉安·普法夫', '阿什莉·泰勒', '伊瑟尔·布罗萨德', '科迪·霍恩', '迈克尔·博尔顿', '肖恩·哈珀', '斯戴芬妮·斯考特', '帕特丽夏·伦茨', '马修·戈尔德', '阿罗拉·凯瑟琳·史密斯', '凯莉·唐纳利', '索菲亚·撒高', '米歇尔·梅斯默', '迈克尔·博萨', '博·勒纳', '杰奎琳·埃沃拉', '泰勒·格鲁秀斯', '艾莉·布莱恩特']","['剧情', '喜剧', '爱情']", 美国, 英语,"['2010', '2010']","['好莱坞首映', '美国']",90,"['58.2%', '33.4%', '7.8%', '0.5%', '0.1%']","['98% 爱情片', '98% 剧情片']",1055221,169806,"['爱情', '青春', '成长', '初恋', '温情', '文艺', '浪漫', '经典']",202689,4687,33,156
