rank,title,actor,score,location,release_time
63,无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",9.1,中国,2012-11-06
64,美丽心灵,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",8.8,美国,2001-12-21
65,蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",8.9,中国,2012-08-27
66,夜访吸血鬼,"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",8.8,美国,1994-11-11
67,倩女幽魂,"张国荣,王祖贤,午马",9.2,中国,2011-04-30
68,哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.0,中国,2011-08-04
69,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",8.8,美国,2008-12-25
70,钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",8.8,法国,2002-09-25
71,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",9.1,法国,2011-11-02
72,熔炉,"孔刘,郑有美,金智英",8.8,韩国,2011-09-22
73,初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",8.8,中国,2012-06-05
74,大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",8.8,中国,2014-10-24
75,新龙门客栈,"张曼玉,梁家辉,甄子丹",8.8,中国,2012-02-24
76,甜蜜蜜,"黎明,张曼玉,曾志伟",9.2,中国,2015-02-13
77,素媛,"李来,薛耿求,严志媛",9.1,韩国,2013-10-02
78,小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",9.1,美国,1999-01-22
79,萤火之森,"内山昂辉,佐仓绫音,后藤弘树",9.0,日本,2011-09-17
80,时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",8.9,英国,2013-09-04
81,穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",9.0,英国,2008-09-12
82,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",9.0,德国,2006-03-23
83,借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",8.8,日本,2010-07-17
84,恐怖直播,"河正宇,李璟荣,李大为",8.8,韩国,2013-07-31
85,7号房的礼物,"柳承龙,郑镇荣,朴信惠",8.9,韩国,2013-01-23
86,海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",8.9,美国,2009-07-31
87,忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",9.0,日本,1987-08-01
